"Label","HOUSEHOLDS BY TYPE","HOUSEHOLDS BY TYPE!!Total households","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Married-couple family","HOUSEHOLDS BY TYPE!!Total households!!Married-couple family!!With own children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Male householder, no wife present, family","HOUSEHOLDS BY TYPE!!Total households!!Male householder, no wife present, family!!With own children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Female householder, no husband present, family","HOUSEHOLDS BY TYPE!!Total households!!Female householder, no husband present, family!!With own children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households","HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone","HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over","HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over","HOUSEHOLDS BY TYPE!!Total households!!Average household size","HOUSEHOLDS BY TYPE!!Total households!!Average family size","RELATIONSHIP","RELATIONSHIP!!Population in households","RELATIONSHIP!!Population in households!!Householder","RELATIONSHIP!!Population in households!!Spouse","RELATIONSHIP!!Population in households!!Child","RELATIONSHIP!!Population in households!!Other relatives","RELATIONSHIP!!Population in households!!Nonrelatives","RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner","MARITAL STATUS","MARITAL STATUS!!Males 15 years and over","MARITAL STATUS!!Males 15 years and over!!Never married","MARITAL STATUS!!Males 15 years and over!!Now married, except separated","MARITAL STATUS!!Males 15 years and over!!Separated","MARITAL STATUS!!Males 15 years and over!!Widowed","MARITAL STATUS!!Males 15 years and over!!Divorced","MARITAL STATUS!!Females 15 years and over","MARITAL STATUS!!Females 15 years and over!!Never married","MARITAL STATUS!!Females 15 years and over!!Now married, except separated","MARITAL STATUS!!Females 15 years and over!!Separated","MARITAL STATUS!!Females 15 years and over!!Widowed","MARITAL STATUS!!Females 15 years and over!!Divorced","FERTILITY","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old","GRANDPARENTS","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married","SCHOOL ENROLLMENT","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8)","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12)","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school","EDUCATIONAL ATTAINMENT","EDUCATIONAL ATTAINMENT!!Population 25 years and over","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","VETERAN STATUS","VETERAN STATUS!!Civilian population 18 years and over","VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability","RESIDENCE 1 YEAR AGO","RESIDENCE 1 YEAR AGO!!Population 1 year and over","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Same house","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Same county","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county!!Same state","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county!!Different state","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Abroad","PLACE OF BIRTH","PLACE OF BIRTH!!Total population","PLACE OF BIRTH!!Total population!!Native","PLACE OF BIRTH!!Total population!!Native!!Born in United States","PLACE OF BIRTH!!Total population!!Native!!Born in United States!!State of residence","PLACE OF BIRTH!!Total population!!Native!!Born in United States!!Different state","PLACE OF BIRTH!!Total population!!Native!!Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","PLACE OF BIRTH!!Total population!!Foreign born","U.S. CITIZENSHIP STATUS","U.S. CITIZENSHIP STATUS!!Foreign-born population","U.S. CITIZENSHIP STATUS!!Foreign-born population!!Naturalized U.S. citizen","U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen","YEAR OF ENTRY","YEAR OF ENTRY!!Population born outside the United States","YEAR OF ENTRY!!Population born outside the United States!!Native","YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered 2010 or later","YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered before 2010","YEAR OF ENTRY!!Population born outside the United States!!Foreign born","YEAR OF ENTRY!!Population born outside the United States!!Foreign born!!Entered 2010 or later","YEAR OF ENTRY!!Population born outside the United States!!Foreign born!!Entered before 2010","WORLD REGION OF BIRTH OF FOREIGN BORN","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Europe","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Asia","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Africa","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Oceania","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Latin America","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Northern America","LANGUAGE SPOKEN AT HOME","LANGUAGE SPOKEN AT HOME!!Population 5 years and over","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages!!Speak English less than ""very well""","ANCESTRY","ANCESTRY!!Total population","ANCESTRY!!Total population!!American","ANCESTRY!!Total population!!Arab","ANCESTRY!!Total population!!Czech","ANCESTRY!!Total population!!Danish","ANCESTRY!!Total population!!Dutch","ANCESTRY!!Total population!!English","ANCESTRY!!Total population!!French (except Basque)","ANCESTRY!!Total population!!French Canadian","ANCESTRY!!Total population!!German","ANCESTRY!!Total population!!Greek","ANCESTRY!!Total population!!Hungarian","ANCESTRY!!Total population!!Irish","ANCESTRY!!Total population!!Italian","ANCESTRY!!Total population!!Lithuanian","ANCESTRY!!Total population!!Norwegian","ANCESTRY!!Total population!!Polish","ANCESTRY!!Total population!!Portuguese","ANCESTRY!!Total population!!Russian","ANCESTRY!!Total population!!Scotch-Irish","ANCESTRY!!Total population!!Scottish","ANCESTRY!!Total population!!Slovak","ANCESTRY!!Total population!!Subsaharan African","ANCESTRY!!Total population!!Swedish","ANCESTRY!!Total population!!Swiss","ANCESTRY!!Total population!!Ukrainian","ANCESTRY!!Total population!!Welsh","ANCESTRY!!Total population!!West Indian (excluding Hispanic origin groups)","COMPUTERS AND INTERNET USE","COMPUTERS AND INTERNET USE!!Total households","COMPUTERS AND INTERNET USE!!Total households!!With a computer","COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription"
"Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,909,509","2,514,380","1,024,290","1,851,321","677,486","185,523","90,840","477,536","255,964","1,395,129","1,146,430","454,134","1,136,575","1,147,165","2.49","3.08","","9,728,101","3,909,509","1,851,443","2,864,512","520,197","582,440","253,019","","3,978,881","1,441,579","1,965,339","43,351","112,042","416,570","4,179,597","1,264,406","1,954,307","56,310","379,343","525,231","","119,935","44,953","34","53","13","96","23","","172,621","61,201","","12,988","14,641","10,111","23,461","61,201","38,246","40,821","","2,487,658","141,901","120,182","977,608","534,635","713,332","","6,772,215","200,210","441,326","1,966,809","1,590,065","636,753","1,179,677","757,375","6,130,679","1,937,052","","7,757,578","564,783","","9,847,464","1,403,640","2,192,530","108,113","6,072,810","742,869","1,582,124","552,658","","9,846,021","8,442,969","1,353,993","840,630","513,363","366,921","146,442","49,059","","9,957,488","9,286,383","9,211,238","7,608,157","1,603,081","75,145","671,105","","671,105","348,239","322,866","","746,250","75,145","13,654","61,491","671,105","168,465","502,640","","671,091","128,773","344,281","31,203","2,536","128,243","36,055","","9,385,114","8,486,297","898,817","320,373","279,967","96,044","264,655","79,987","160,225","66,961","193,970","77,381","","9,957,488","564,831","191,551","42,888","35,509","451,929","846,234","390,404","159,144","1,933,730","42,631","89,785","1,036,095","461,974","28,329","76,075","821,091","7,257","68,522","70,492","216,031","24,595","64,141","138,301","23,141","36,457","47,283","16,109","","3,909,509","3,442,305","3,086,579"
"    Margin of Error","","±9,207","±7,888","±6,332","±9,502","±6,832","±2,669","±1,890","±4,094","±3,112","±5,365","±5,600","±4,663","±6,322","±3,666","±0.01","±0.01","","*****","±9,207","±9,195","±8,259","±8,855","±7,785","±3,346","","±680","±6,609","±9,217","±1,358","±2,187","±4,283","±645","±5,510","±8,191","±1,624","±3,005","±4,725","","±2,424","±1,474","±1","±1","±1","±2","±1","","±2,872","±1,699","","±800","±824","±705","±1,098","±1,699","±1,020","±1,482","","±5,971","±2,377","±2,042","±3,193","±2,282","±5,378","","±832","±2,988","±4,836","±9,039","±7,345","±4,629","±6,732","±6,715","±6,347","±11,333","","±500","±3,680","","±346","±7,836","±335","±2,287","±852","±5,736","±750","±3,453","","±1,962","±14,241","±14,059","±11,175","±5,849","±5,153","±3,610","±2,341","","*****","±6,161","±6,260","±10,022","±7,991","±2,081","±6,161","","±6,161","±4,076","±5,419","","±6,260","±2,081","±1,115","±1,772","±6,161","±3,962","±5,034","","±6,166","±3,019","±4,368","±1,800","±405","±2,868","±1,177","","±385","±8,476","±8,375","±4,787","±4,275","±2,548","±4,885","±2,219","±3,271","±2,571","±4,653","±2,574","","*****","±9,219","±5,091","±1,491","±1,542","±5,647","±7,081","±4,625","±2,894","±9,529","±1,654","±2,566","±7,171","±5,709","±1,372","±2,138","±7,060","±741","±1,691","±1,935","±3,149","±1,173","±2,541","±2,520","±1,131","±1,359","±1,723","±1,384","","±9,207","±9,862","±11,610"
"    Percent","","3,909,509","64.3%","26.2%","47.4%","17.3%","4.7%","2.3%","12.2%","6.5%","35.7%","29.3%","11.6%","29.1%","29.3%","(X)","(X)","","9,728,101","40.2%","19.0%","29.4%","5.3%","6.0%","2.6%","","3,978,881","36.2%","49.4%","1.1%","2.8%","10.5%","4,179,597","30.3%","46.8%","1.3%","9.1%","12.6%","","119,935","37.5%","(X)","(X)","(X)","(X)","(X)","","172,621","35.5%","","7.5%","8.5%","5.9%","13.6%","61,201","62.5%","66.7%","","2,487,658","5.7%","4.8%","39.3%","21.5%","28.7%","","6,772,215","3.0%","6.5%","29.0%","23.5%","9.4%","17.4%","11.2%","90.5%","28.6%","","7,757,578","7.3%","","9,847,464","14.3%","2,192,530","4.9%","6,072,810","12.2%","1,582,124","34.9%","","9,846,021","85.8%","13.8%","8.5%","5.2%","3.7%","1.5%","0.5%","","9,957,488","93.3%","92.5%","76.4%","16.1%","0.8%","6.7%","","671,105","51.9%","48.1%","","746,250","75,145","18.2%","81.8%","671,105","25.1%","74.9%","","671,091","19.2%","51.3%","4.6%","0.4%","19.1%","5.4%","","9,385,114","90.4%","9.6%","3.4%","3.0%","1.0%","2.8%","0.9%","1.7%","0.7%","2.1%","0.8%","","9,957,488","5.7%","1.9%","0.4%","0.4%","4.5%","8.5%","3.9%","1.6%","19.4%","0.4%","0.9%","10.4%","4.6%","0.3%","0.8%","8.2%","0.1%","0.7%","0.7%","2.2%","0.2%","0.6%","1.4%","0.2%","0.4%","0.5%","0.2%","","3,909,509","88.0%","79.0%"
"    Percent Margin of Error","","(X)","±0.1","±0.1","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","(X)","(X)","","(X)","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","(X)","±0.2","±0.2","±0.1","±0.1","±0.1","(X)","±0.1","±0.2","±0.1","±0.1","±0.1","","(X)","±0.9","(X)","(X)","(X)","(X)","(X)","","(X)","±0.8","","±0.4","±0.4","±0.4","±0.6","(X)","±0.8","±1.2","","(X)","±0.1","±0.1","±0.2","±0.1","±0.2","","(X)","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","(X)","±0.1","","(X)","±0.1","(X)","±0.1","(X)","±0.1","(X)","±0.2","","(X)","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","(X)","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","(X)","±0.6","±0.6","","(X)","(X)","±1.3","±1.3","(X)","±0.5","±0.5","","(X)","±0.4","±0.4","±0.3","±0.1","±0.4","±0.2","","(X)","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","(X)","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","(X)","±0.1","±0.2"
"Manistee city, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,684","1,436","524","1,029","301","152","76","255","147","1,248","1,158","450","538","930","2.25","3.09","","6,048","2,684","1,034","1,739","234","357","129","","2,296","829","1,019","12","104","332","2,782","912","1,161","18","251","440","","57","50","52","40","64","53","13","","59","0","","0","0","0","0","0","0","0","","1,347","40","96","554","364","293","","4,392","35","191","1,346","1,018","688","705","409","4,166","1,114","","4,817","543","","6,067","1,110","1,250","28","3,574","595","1,243","487","","6,043","5,001","1,042","613","429","184","245","0","","6,071","6,004","5,998","4,850","1,148","6","67","","67","28","39","","73","6","0","6","67","0","67","","67","33","34","0","0","0","0","","5,810","5,540","270","95","41","0","68","8","30","30","131","57","","6,071","390","33","11","99","189","485","176","98","1,579","9","57","610","257","0","128","999","0","29","97","47","10","0","195","7","43","0","27","","2,684","2,320","2,059"
"    Margin of Error","","±156","±115","±99","±119","±76","±58","±50","±74","±60","±170","±171","±108","±99","±116","±0.13","±0.19","","±46","±156","±119","±194","±100","±135","±65","","±175","±140","±124","±14","±63","±96","±117","±125","±117","±19","±77","±122","","±54","±52","±54","±38","±72","±75","±24","","±45","±14","","±14","±14","±14","±14","±14","±14","±14","","±200","±32","±55","±115","±81","±124","","±205","±29","±69","±186","±169","±115","±158","±117","±201","±199","","±182","±113","","±43","±169","±175","±23","±189","±145","±146","±105","","±57","±273","±270","±226","±152","±88","±128","±14","","±43","±64","±64","±204","±206","±13","±50","","±50","±22","±40","","±52","±13","±14","±13","±50","±14","±50","","±50","±33","±36","±14","±14","±14","±14","","±106","±174","±142","±58","±43","±14","±55","±13","±36","±36","±141","±47","","±43","±162","±34","±17","±61","±82","±140","±80","±76","±273","±13","±38","±164","±159","±14","±65","±230","±14","±27","±72","±37","±16","±14","±92","±12","±50","±14","±40","","±156","±163","±151"
"    Percent","","2,684","53.5%","19.5%","38.3%","11.2%","5.7%","2.8%","9.5%","5.5%","46.5%","43.1%","16.8%","20.0%","34.6%","(X)","(X)","","6,048","44.4%","17.1%","28.8%","3.9%","5.9%","2.1%","","2,296","36.1%","44.4%","0.5%","4.5%","14.5%","2,782","32.8%","41.7%","0.6%","9.0%","15.8%","","57","87.7%","(X)","(X)","(X)","(X)","(X)","","59","0.0%","","0.0%","0.0%","0.0%","0.0%","0","-","-","","1,347","3.0%","7.1%","41.1%","27.0%","21.8%","","4,392","0.8%","4.3%","30.6%","23.2%","15.7%","16.1%","9.3%","94.9%","25.4%","","4,817","11.3%","","6,067","18.3%","1,250","2.2%","3,574","16.6%","1,243","39.2%","","6,043","82.8%","17.2%","10.1%","7.1%","3.0%","4.1%","0.0%","","6,071","98.9%","98.8%","79.9%","18.9%","0.1%","1.1%","","67","41.8%","58.2%","","73","6","0.0%","100.0%","67","0.0%","100.0%","","67","49.3%","50.7%","0.0%","0.0%","0.0%","0.0%","","5,810","95.4%","4.6%","1.6%","0.7%","0.0%","1.2%","0.1%","0.5%","0.5%","2.3%","1.0%","","6,071","6.4%","0.5%","0.2%","1.6%","3.1%","8.0%","2.9%","1.6%","26.0%","0.1%","0.9%","10.0%","4.2%","0.0%","2.1%","16.5%","0.0%","0.5%","1.6%","0.8%","0.2%","0.0%","3.2%","0.1%","0.7%","0.0%","0.4%","","2,684","86.4%","76.7%"
