"name","United States","Michigan","Manistee County, MI","label","concept"
"B03002001","322903030","9957488","24444","Estimate!!Total","HISPANIC OR LATINO ORIGIN BY RACE"
"B03002002","265385095","9459591","23706","Estimate!!Total!!Not Hispanic or Latino","HISPANIC OR LATINO ORIGIN BY RACE"
"B03002003","197181177","7489371","21801","Estimate!!Total!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO ORIGIN BY RACE"
"B03002004","39715917","1360345","655","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO ORIGIN BY RACE"
"B03002005","2135479","45772","369","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO ORIGIN BY RACE"
"B03002006","17367169","303059","95","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO ORIGIN BY RACE"
"B03002007","525102","2464","14","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO ORIGIN BY RACE"
"B03002008","754496","14334","2","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO ORIGIN BY RACE"
"B03002009","7705755","244246","770","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO ORIGIN BY RACE"
"B03002010","301513","6635","5","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO ORIGIN BY RACE"
"B03002011","7404242","237611","765","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","HISPANIC OR LATINO ORIGIN BY RACE"
"B03002012","57517935","497897","738","Estimate!!Total!!Hispanic or Latino","HISPANIC OR LATINO ORIGIN BY RACE"
"B03002013","37723641","329217","519","Estimate!!Total!!Hispanic or Latino!!White alone","HISPANIC OR LATINO ORIGIN BY RACE"
"B03002014","1200196","15079","24","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO ORIGIN BY RACE"
"B03002015","563594","7463","16","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO ORIGIN BY RACE"
"B03002017","57616","515","0","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO ORIGIN BY RACE"
"B03002018","15035465","104807","76","Estimate!!Total!!Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO ORIGIN BY RACE"
"B03002019","2730042","39472","84","Estimate!!Total!!Hispanic or Latino!!Two or more races","HISPANIC OR LATINO ORIGIN BY RACE"
"B03002020","1288890","18945","48","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO ORIGIN BY RACE"
"B03002021","1441152","20527","36","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","HISPANIC OR LATINO ORIGIN BY RACE"
