"name","United States","Michigan","Alcona County, MI","Alger County, MI","Allegan County, MI","Alpena County, MI","Antrim County, MI","Arenac County, MI","Baraga County, MI","Barry County, MI","Bay County, MI","Benzie County, MI","Berrien County, MI","Branch County, MI","Calhoun County, MI","Cass County, MI","Charlevoix County, MI","Cheboygan County, MI","Chippewa County, MI","Clare County, MI","Clinton County, MI","Crawford County, MI","Delta County, MI","Dickinson County, MI","Eaton County, MI","Emmet County, MI","Genesee County, MI","Gladwin County, MI","Gogebic County, MI","Grand Traverse County, MI","Gratiot County, MI","Hillsdale County, MI","Houghton County, MI","Huron County, MI","Ingham County, MI","Ionia County, MI","Iosco County, MI","Iron County, MI","Isabella County, MI","Jackson County, MI","Kalamazoo County, MI","Kalkaska County, MI","Kent County, MI","Keweenaw County, MI","Lake County, MI","Lapeer County, MI","Leelanau County, MI","Lenawee County, MI","Livingston County, MI","Luce County, MI","Mackinac County, MI","Macomb County, MI","Manistee County, MI","Marquette County, MI","Mason County, MI","Mecosta County, MI","Menominee County, MI","Midland County, MI","Missaukee County, MI","Monroe County, MI","Montcalm County, MI","Montmorency County, MI","Muskegon County, MI","Newaygo County, MI","Oakland County, MI","Oceana County, MI","Ogemaw County, MI","Ontonagon County, MI","Osceola County, MI","Oscoda County, MI","Otsego County, MI","Ottawa County, MI","Presque Isle County, MI","Roscommon County, MI","Saginaw County, MI","St. Clair County, MI","St. Joseph County, MI","Sanilac County, MI","Schoolcraft County, MI","Shiawassee County, MI","Tuscola County, MI","Van Buren County, MI","Washtenaw County, MI","Wayne County, MI","Wexford County, MI","label","concept"
"B01001001","322903030","9957488","10364","9194","115250","28612","23177","15165","8507","60057","104786","17552","154807","43584","134473","51460","26219","25458","37834","30616","77896","13836","36190","25570","109155","33039","409361","25289","15414","91746","41067","45830","36360","31543","289564","64176","25247","11212","70775","158913","261573","17463","643140","2130","11763","88202","21639","98474","188482","6364","10817","868704","24444","66939","28884","43264","23234","83389","15006","149699","63209","9261","173043","48142","1250843","26417","20928","5968","23232","8277","24397","284034","12797","23877","192778","159566","60897","41376","8069","68493","53250","75272","365961","1761382","33111","Estimate!!Total","SEX BY AGE"
"B01001002","158984190","4899118","5224","5104","57586","14095","11515","7681","4720","30248","51486","8743","75737","22485","65782","25789","12907","12720","20794","15159","38528","7060","17998","12754","53353","16307","197382","12739","8324","45367","21961","22798","19668","15692","140970","34053","12578","5595","34371","81205","128025","8908","316734","1111","6000","44842","10742","49815","94566","3743","5463","422835","12658","33703","14310","21844","11781","40980","7668","73914","32595","4665","86083","24149","610771","13412","10480","3054","11738","4251","12061","140285","6386","11857","93581","79300","30259","20534","3984","33801","26732","37429","181376","847648","16567","Estimate!!Total!!Male","SEX BY AGE"
"B01001003","10146960","293111","152","164","3667","672","543","370","194","1663","2661","476","4595","1369","4368","1342","590","509","945","777","2200","290","938","617","3073","860","12453","663","288","2605","1072","1337","998","819","8290","1931","571","194","1619","4581","7991","461","22580","55","268","2189","476","2689","4983","128","199","24356","448","1648","771","1163","549","2337","506","4134","1754","162","5416","1390","35038","767","481","75","666","216","696","9277","231","447","5627","4245","2100","1104","168","1778","1385","2353","9343","58986","1019","Estimate!!Total!!Male!!Under 5 years","SEX BY AGE"
"B01001004","10357512","305110","166","233","3929","705","553","378","223","1852","3216","392","5211","1377","4322","1584","707","520","933","996","2524","391","960","815","3240","900","12796","681","410","2653","1064","1283","1050","907","7727","2218","516","323","1638","4810","7732","505","22702","45","299","2618","525","2925","5513","167","234","26270","494","1856","696","1196","620","2712","441","4249","2080","172","5941","1509","37086","772","515","87","762","257","777","10072","233","492","5824","4306","1980","1308","201","2233","1656","2243","9547","57902","1153","Estimate!!Total!!Male!!5 to 9 years","SEX BY AGE"
"B01001005","10644356","322016","224","216","4340","851","668","410","215","2077","3215","531","4567","1541","4501","1609","773","785","1124","718","2568","355","1177","674","3221","1008","14233","704","324","2735","1320","1533","1117","817","8451","2094","619","210","1831","5249","8479","614","22410","46","246","2884","515","3250","6615","154","288","27110","773","1657","1023","1103","659","2430","540","5087","2091","243","5677","1698","39673","1033","625","131","813","245","633","10037","322","572","5989","5687","2282","1309","211","2048","1671","2845","10411","60170","1112","Estimate!!Total!!Male!!10 to 14 years","SEX BY AGE"
"B01001006","6436745","203374","155","118","2647","577","436","282","171","1315","2075","323","3102","890","2840","1037","484","445","669","551","1697","243","694","466","2234","674","8670","473","218","1656","829","999","655","581","5132","1398","402","180","1104","3261","4943","333","13525","27","167","1972","384","2107","4418","112","194","17725","464","1055","524","760","466","1698","326","3283","1366","145","3618","1017","25825","571","400","89","552","158","510","6319","221","380","3921","3433","1335","827","165","1488","1118","1719","6339","37035","657","Estimate!!Total!!Male!!15 to 17 years","SEX BY AGE"
"B01001007","4409826","138903","80","137","1284","314","224","174","73","749","1111","166","1841","532","1796","627","281","279","600","305","988","154","371","279","1408","381","5069","270","201","1011","696","690","1472","328","8293","936","236","101","2663","2022","4563","192","8502","9","152","1128","189","1473","2434","108","73","9689","282","1248","354","1398","259","1110","170","1879","737","76","2110","516","14641","361","210","54","263","74","263","5685","112","170","2835","1860","750","484","106","905","599","943","10250","21198","347","Estimate!!Total!!Male!!18 and 19 years","SEX BY AGE"
"B01001008","2376854","76663","35","48","576","157","101","58","15","258","619","50","952","233","1021","253","120","220","534","198","537","70","249","170","698","203","2659","192","159","488","536","360","1209","150","5127","471","146","57","1867","1278","3445","77","4661","8","67","518","59","757","1244","40","69","4983","169","806","108","877","125","665","110","1006","398","51","1074","325","6542","152","103","15","134","55","75","3564","57","137","1583","921","221","188","34","430","290","393","5772","12115","166","Estimate!!Total!!Male!!20 years","SEX BY AGE"
"B01001009","2329234","74862","52","49","577","114","138","79","37","268","508","93","839","230","1035","327","184","130","298","142","580","85","157","108","747","240","2654","119","93","504","347","266","881","175","4604","520","145","54","2107","1341","3542","116","4643","3","38","681","123","885","1265","78","75","4913","192","984","175","688","138","492","67","858","334","29","1141","214","6626","166","92","20","134","21","90","2868","62","191","1180","1013","480","270","60","432","288","399","5621","12228","120","Estimate!!Total!!Male!!21 years","SEX BY AGE"
"B01001010","6730753","214985","103","280","2213","482","347","258","314","1216","2007","276","3079","710","2415","917","355","298","1124","492","1521","219","508","440","2117","490","8071","300","327","1537","1087","857","1606","523","9997","1525","318","128","2634","3032","9019","281","13651","42","182","1595","365","1841","3330","140","193","17760","501","2014","531","1543","322","1526","276","2575","1297","89","3398","903","25546","581","306","64","349","115","564","6774","164","223","4022","3110","1141","673","90","1250","944","1469","13462","35981","660","Estimate!!Total!!Male!!22 to 24 years","SEX BY AGE"
"B01001011","11579090","331851","169","378","3426","742","486","366","339","1567","3408","409","4607","1357","4110","1340","658","593","1539","803","2260","324","890","672","3650","975","12369","588","524","2960","1728","1298","1046","769","11265","2307","604","221","2717","5487","9485","494","26285","43","217","2460","472","3052","5022","244","294","29900","769","2165","806","1370","561","2655","395","4399","2014","169","5910","1393","41608","667","486","86","669","168","707","8453","216","442","6364","4353","1882","1040","135","2055","1597","1992","14764","63655","987","Estimate!!Total!!Male!!25 to 29 years","SEX BY AGE"
"B01001012","10971402","297916","164","300","3422","731","505","362","366","1725","3019","460","4345","1408","3808","1275","641","570","1406","756","2237","309","912","721","3244","869","10989","568","508","3177","1448","1184","1022","802","9231","2250","578","224","1858","4842","8364","463","23275","34","236","2353","450","2922","5011","283","226","26264","622","2068","704","1026","571","2547","418","4080","2045","180","5604","1280","39711","681","492","97","629","184","598","8498","245","419","5301","4161","1793","1053","148","1856","1395","2111","12107","52171","1004","Estimate!!Total!!Male!!30 to 34 years","SEX BY AGE"
"B01001013","10343188","291756","193","379","3586","758","552","352","263","1842","3243","474","4622","1370","3891","1431","673","722","1555","778","2308","317","928","609","3135","777","11824","692","540","2690","1473","1145","872","783","8292","2508","433","243","1878","4671","7308","653","21418","42","295","2366","434","3218","5044","337","208","25719","665","1929","706","966","646","2338","339","4165","2396","133","5340","1413","38706","812","506","118","613","106","651","8146","247","484","5126","4734","1657","1169","205","2166","1399","1982","10773","50314","962","Estimate!!Total!!Male!!35 to 39 years","SEX BY AGE"
"B01001014","9965417","289022","188","208","3285","784","541","420","319","1625","2917","385","4122","1447","3884","1442","610","544","1285","810","2395","301","990","776","3270","1002","11505","553","474","2690","1508","1327","859","746","7443","2275","680","276","1548","5581","7433","433","18158","78","263","2783","546","2982","5925","227","295","26760","618","1680","776","1036","641","2501","440","4832","1845","263","5269","1303","38823","573","541","123","598","253","638","8460","323","476","5270","4310","1885","1033","159","1874","1673","2308","10237","50563","800","Estimate!!Total!!Male!!40 to 44 years","SEX BY AGE"
"B01001015","10307737","320074","287","292","3870","823","696","445","309","1997","3279","499","4742","1499","4226","1832","768","817","1441","892","2624","477","1068","778","3324","1060","13064","743","520","2986","1477","1427","884","972","7597","2547","717","327","1706","5684","7298","564","19535","30","363","3241","545","3413","7037","304","318","29893","812","1926","806","1080","733","2715","485","5084","2431","269","5437","1426","43356","841","550","160","759","210","808","8422","354","639","5835","5704","1854","1311","274","2335","1724","2409","10664","56319","1105","Estimate!!Total!!Male!!45 to 49 years","SEX BY AGE"
"B01001016","10690352","344126","373","364","4230","1077","846","550","347","2404","3687","634","5279","1638","4489","1868","1028","922","1536","1093","2867","544","1263","969","3654","1086","13960","921","598","3253","1568","1644","1013","1160","7886","2457","866","383","1895","5893","7432","662","20657","69","413","3781","644","3449","7968","278","400","32067","845","2124","986","1261","905","3162","541","5538","2328","302","5936","1787","45598","925","742","241","827","277","895","8986","436","797","6457","6392","2024","1524","292","2621","2062","2669","10850","58552","1179","Estimate!!Total!!Male!!50 to 54 years","SEX BY AGE"
"B01001017","10485721","350830","499","332","4576","1273","943","675","368","2261","3722","724","5637","1862","4418","2027","1021","1047","1392","1257","2870","704","1594","984","3920","1363","14417","1090","715","3380","1477","1852","970","1315","8301","2329","1178","556","1766","6106","7096","635","20210","82","541","3853","929","3653","7986","202","421","29965","1051","2149","1109","1298","1154","3194","550","6314","2471","472","6536","1933","46137","987","1055","277","904","455","1037","8944","554","977","6809","6125","2233","1682","302","2547","1993","2685","10249","58986","1167","Estimate!!Total!!Male!!55 to 59 years","SEX BY AGE"
"B01001018","3987786","137589","201","192","1613","419","385","301","113","1007","1675","295","2319","442","2248","825","406","427","543","438","882","214","701","454","1671","457","5857","451","245","1453","574","657","539","542","3284","824","359","216","760","2092","3373","267","7467","56","231","1446","302","1278","2659","93","220","12990","435","1136","457","643","291","1043","273","2123","859","183","2270","850","17202","435","317","137","371","169","383","3197","287","559","2513","2434","825","655","235","1060","966","1148","4519","22643","508","Estimate!!Total!!Male!!60 and 61 years","SEX BY AGE"
"B01001019","5439957","186436","340","314","2026","708","647","459","201","1416","2365","468","2995","1019","2394","1247","754","696","771","791","1662","386","772","692","2181","762","7288","549","384","2047","684","1029","650","808","4001","1344","727","330","1106","3196","4446","481","10763","60","337","1881","738","2097","4032","181","348","16059","657","1535","762","859","601","1399","332","2967","1291","297","3150","952","21831","563","531","228","461","184","445","4513","426","802","3612","3611","1213","986","200","1432","1226","1755","5304","29916","763","Estimate!!Total!!Male!!62 to 64 years","SEX BY AGE"
