state,standardized_date,# Infected,# Deaths,total_number_of_days,population,# Susceptible
CA,2020-02-21,10.0,0.0,46,37253956,37253946.0
CA,2020-02-22,10.0,0.0,46,37253956,37253946.0
CA,2020-02-23,10.0,0.0,46,37253956,37253946.0
CA,2020-02-24,10.0,0.0,46,37253956,37253946.0
CA,2020-02-25,10.0,0.0,46,37253956,37253946.0
CA,2020-02-26,10.0,0.0,46,37253956,37253946.0
CA,2020-02-27,11.0,0.0,46,37253956,37253945.0
CA,2020-02-28,11.0,0.0,46,37253956,37253945.0
CA,2020-02-29,12.0,0.0,46,37253956,37253944.0
CA,2020-03-01,12.0,0.0,46,37253956,37253944.0
CA,2020-03-02,21.0,0.0,46,37253956,37253935.0
CA,2020-03-03,25.0,0.0,46,37253956,37253931.0
CA,2020-03-04,35.0,1.0,46,37253956,37253921.0
CA,2020-03-05,51.0,1.0,46,37253956,37253905.0
CA,2020-03-06,59.0,1.0,46,37253956,37253897.0
CA,2020-03-07,102.0,1.0,46,37253956,37253854.0
CA,2020-03-08,116.0,1.0,46,37253956,37253840.0
CA,2020-03-09,167.0,2.0,46,37253956,37253789.0
CA,2020-03-10,179.0,3.0,46,37253956,37253777.0
CA,2020-03-11,263.0,4.0,46,37253956,37253693.0
CA,2020-03-12,266.0,4.0,46,37253956,37253690.0
CA,2020-03-13,305.0,4.0,46,37253956,37253651.0
CA,2020-03-14,372.0,4.0,46,37253956,37253584.0
CA,2020-03-15,480.0,6.0,46,37253956,37253476.0
CA,2020-03-16,588.0,11.0,46,37253956,37253368.0
CA,2020-03-17,741.0,14.0,46,37253956,37253215.0
CA,2020-03-18,892.0,17.0,46,37253956,37253064.0
CA,2020-03-19,1065.0,19.0,46,37253956,37252891.0
CA,2020-03-20,1289.0,24.0,46,37253956,37252667.0
CA,2020-03-21,1524.0,29.0,46,37253956,37252432.0
CA,2020-03-22,1826.0,33.0,46,37253956,37252130.0
CA,2020-03-23,2253.0,40.0,46,37253956,37251703.0
CA,2020-03-24,2641.0,52.0,46,37253956,37251315.0
CA,2020-03-25,3176.0,67.0,46,37253956,37250780.0
CA,2020-03-26,4035.0,83.0,46,37253956,37249921.0
CA,2020-03-27,4863.0,100.0,46,37253956,37249093.0
CA,2020-03-28,5671.0,121.0,46,37253956,37248285.0
CA,2020-03-29,6352.0,132.0,46,37253956,37247604.0
CA,2020-03-30,7412.0,149.0,46,37253956,37246544.0
CA,2020-03-31,8570.0,182.0,46,37253956,37245386.0
CA,2020-04-01,9939.0,212.0,46,37253956,37244017.0
CA,2020-04-02,11170.0,243.0,46,37253956,37242786.0
CA,2020-04-03,12563.0,282.0,46,37253956,37241393.0
CA,2020-04-04,13886.0,321.0,46,37253956,37240070.0
CA,2020-04-05,15204.0,351.0,46,37253956,37238752.0
CA,2020-04-06,16356.0,388.0,46,37253956,37237600.0
CA,2020-04-07,17538.0,447.0,46,37253956,37236418.0
CT,2020-03-14,20.0,0.0,24,3574097,3574077.0
CT,2020-03-15,26.0,0.0,24,3574097,3574071.0
CT,2020-03-16,41.0,0.0,24,3574097,3574056.0
CT,2020-03-17,68.0,0.0,24,3574097,3574029.0
CT,2020-03-18,96.0,1.0,24,3574097,3574001.0
CT,2020-03-19,159.0,3.0,24,3574097,3573938.0
CT,2020-03-20,194.0,4.0,24,3574097,3573903.0
CT,2020-03-21,223.0,5.0,24,3574097,3573874.0
CT,2020-03-22,327.0,8.0,24,3574097,3573770.0
CT,2020-03-23,415.0,10.0,24,3574097,3573682.0
CT,2020-03-24,618.0,12.0,24,3574097,3573479.0
CT,2020-03-25,875.0,19.0,24,3574097,3573222.0
CT,2020-03-26,1012.0,21.0,24,3574097,3573085.0
CT,2020-03-27,1291.0,27.0,24,3574097,3572806.0
CT,2020-03-28,1524.0,33.0,24,3574097,3572573.0
CT,2020-03-29,1993.0,34.0,24,3574097,3572104.0
CT,2020-03-30,2571.0,36.0,24,3574097,3571526.0
CT,2020-03-31,3128.0,69.0,24,3574097,3570969.0
CT,2020-04-01,3557.0,85.0,24,3574097,3570540.0
CT,2020-04-02,3824.0,111.0,24,3574097,3570273.0
CT,2020-04-03,4915.0,133.0,24,3574097,3569182.0
CT,2020-04-04,5276.0,165.0,24,3574097,3568821.0
CT,2020-04-05,5675.0,189.0,24,3574097,3568422.0
CT,2020-04-06,6906.0,206.0,24,3574097,3567191.0
CT,2020-04-07,7781.0,277.0,24,3574097,3566316.0
FL,2020-03-09,14.0,2.0,29,18801310,18801296.0
FL,2020-03-10,25.0,2.0,29,18801310,18801285.0
FL,2020-03-11,49.0,2.0,29,18801310,18801261.0
FL,2020-03-12,58.0,2.0,29,18801310,18801252.0
FL,2020-03-13,64.0,2.0,29,18801310,18801246.0
FL,2020-03-14,96.0,3.0,29,18801310,18801214.0
FL,2020-03-15,136.0,3.0,29,18801310,18801174.0
FL,2020-03-16,167.0,5.0,29,18801310,18801143.0
FL,2020-03-17,216.0,6.0,29,18801310,18801094.0
FL,2020-03-18,328.0,7.0,29,18801310,18800982.0
FL,2020-03-19,432.0,8.0,29,18801310,18800878.0
FL,2020-03-20,652.0,10.0,29,18801310,18800658.0
FL,2020-03-21,762.0,10.0,29,18801310,18800548.0
FL,2020-03-22,1005.0,13.0,29,18801310,18800305.0
FL,2020-03-23,1227.0,19.0,29,18801310,18800083.0
FL,2020-03-24,1412.0,21.0,29,18801310,18799898.0
FL,2020-03-25,1975.0,25.0,29,18801310,18799335.0
FL,2020-03-26,2439.0,30.0,29,18801310,18798871.0
FL,2020-03-27,3198.0,46.0,29,18801310,18798112.0
FL,2020-03-28,4038.0,56.0,29,18801310,18797272.0
FL,2020-03-29,4948.0,59.0,29,18801310,18796362.0
FL,2020-03-30,5704.0,71.0,29,18801310,18795606.0
FL,2020-03-31,6741.0,85.0,29,18801310,18794569.0
FL,2020-04-01,7559.0,97.0,29,18801310,18793751.0
FL,2020-04-02,9008.0,144.0,29,18801310,18792302.0
FL,2020-04-03,10268.0,170.0,29,18801310,18791042.0
FL,2020-04-04,11544.0,195.0,29,18801310,18789766.0
FL,2020-04-05,12350.0,221.0,29,18801310,18788960.0
FL,2020-04-06,13629.0,254.0,29,18801310,18787681.0
FL,2020-04-07,14747.0,296.0,29,18801310,18786563.0
IL,2020-03-09,13.0,0.0,29,12830632,12830619.0
IL,2020-03-10,19.0,0.0,29,12830632,12830613.0
