MSA Code,MSA Title,State FIPS Code,State Name,PUMA Code,PUMA Name,MSA 2010 Population,PUMA 2010 Population,Intersection 2010 Population,Percent MSA Population,Percent PUMA Population
10180,"Abilene, TX",48,Texas,02600,West Central Texas COG (Outside Taylor County) PUMA,"165,252","195,884","33,746",20.42,17.23
10180,"Abilene, TX",48,Texas,02700,West Central Texas COG--Taylor County--Abilene City PUMA,"165,252","131,506","131,506",79.58,100.00
10380,"Aguadilla-Isabela, PR",72,Puerto Rico,00101,"San Sebastián, Aguada, Moca, Añasco & Rincón Municipios--Carr 2-Carr 111 PUMA","339,441","168,959","168,959",49.78,100.00
10380,"Aguadilla-Isabela, PR",72,Puerto Rico,00102,"Aguadilla, Isabela & Quebradillas Municipios--Carr 2 (Noroeste) PUMA","339,441","132,499","106,580",31.40,80.44
10380,"Aguadilla-Isabela, PR",72,Puerto Rico,00302,"Hatillo, Camuy, Utuado & Lares Municipios--Carr 2-Carr 129 PUMA","339,441","141,014","63,902",18.83,45.32
10420,"Akron, OH",39,Ohio,01700,Portage County PUMA,"703,200","161,419","161,419",22.95,100.00
10420,"Akron, OH",39,Ohio,01801,"Summit County (North & Northwest)--Hudson, Twinsburg & Macedonia Cities PUMA","703,200","113,911","113,911",16.20,100.00
10420,"Akron, OH",39,Ohio,01802,"Summit County (East Central)--Cuyahoga Falls (Southeast), Stow & Tallmadge Cities PUMA","703,200","109,210","109,210",15.53,100.00
10420,"Akron, OH",39,Ohio,01803,Summit County (Central)--Akron City (East) PUMA,"703,200","105,482","105,482",15.00,100.00
10420,"Akron, OH",39,Ohio,01804,Summit County (Central)--Akron (West) & Cuyahoga Falls (West) Cities PUMA,"703,200","108,807","108,807",15.47,100.00
10420,"Akron, OH",39,Ohio,01805,"Summit County (South)--Barberton, Green & New Franklin Cities PUMA","703,200","104,371","104,371",14.84,100.00
10500,"Albany, GA",13,Georgia,00800,"Southwest Georgia Regional Commission (East)--Colquitt, Thomas & Worth Counties PUMA","157,308","111,897","21,679",13.78,19.37
10500,"Albany, GA",13,Georgia,00900,Southwest Georgia Regional Commission (North Central)--Dougherty & Lee Counties PUMA,"157,308","122,863","122,863",78.10,100.00
10500,"Albany, GA",13,Georgia,01100,Southwest Georgia Regional Commission (West & Central) PUMA,"157,308","121,673","12,766",8.12,10.49
10540,"Albany, OR",41,Oregon,00600,Linn & Benton Counties PUMA,"116,672","202,251","116,672",100.00,57.69
10580,"Albany-Schenectady-Troy, NY",36,New York,00403,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA","870,716","113,975","32,749",3.76,28.73
10580,"Albany-Schenectady-Troy, NY",36,New York,01700,Schenectady County--Schenectady City PUMA,"870,716","154,727","154,727",17.77,100.00
10580,"Albany-Schenectady-Troy, NY",36,New York,01801,Saratoga County (South & Central) PUMA,"870,716","105,628","105,628",12.13,100.00
10580,"Albany-Schenectady-Troy, NY",36,New York,01802,Saratoga County (Outer) PUMA,"870,716","113,979","113,979",13.09,100.00
10580,"Albany-Schenectady-Troy, NY",36,New York,01900,Rensselaer County--Troy City PUMA,"870,716","159,429","159,429",18.31,100.00
10580,"Albany-Schenectady-Troy, NY",36,New York,02001,Albany County (East Central)--Albany City PUMA,"870,716","106,401","106,401",12.22,100.00
10580,"Albany-Schenectady-Troy, NY",36,New York,02002,Albany County (Outside Albany City) PUMA,"870,716","197,803","197,803",22.72,100.00
10740,"Albuquerque, NM",35,New Mexico,00600,Sandoval County PUMA,"887,077","131,561","131,561",14.83,100.00
10740,"Albuquerque, NM",35,New Mexico,00700,"Valencia, Bernalillo (East Mountains) Counties & Isleta Pueblo PUMA","887,077","100,973","100,973",11.38,100.00
10740,"Albuquerque, NM",35,New Mexico,00801,Albuquerque City (Far Northeast Heights) PUMA,"887,077","100,976","100,976",11.38,100.00
10740,"Albuquerque, NM",35,New Mexico,00802,Albuquerque City (Near Northeast Heights) PUMA,"887,077","101,467","101,467",11.44,100.00
10740,"Albuquerque, NM",35,New Mexico,00803,Albuquerque City (Southeast Heights) PUMA,"887,077","104,009","104,009",11.72,100.00
10740,"Albuquerque, NM",35,New Mexico,00804,Albuquerque City (Central) & Bernalillo County (North Valley) PUMA,"887,077","103,267","103,267",11.64,100.00
10740,"Albuquerque, NM",35,New Mexico,00805,"Albuquerque City (Northwest Mesa), Paradise Hills & Navajo Nation-Tohajiilee Chapter PUMA","887,077","117,307","117,307",13.22,100.00
10740,"Albuquerque, NM",35,New Mexico,00806,Albuquerque City (Southwest Mesa) & Bernalillo County (Southwest Mesa & South Valley) PUMA,"887,077","111,134","111,134",12.53,100.00
10740,"Albuquerque, NM",35,New Mexico,00900,Southwest New Mexico PUMA,"887,077","109,465","16,383",1.85,14.97
10780,"Alexandria, LA",22,Louisiana,00600,Kisatchie Delta Regional Planning & Development District 1 PUMA,"153,922","125,814","22,309",14.49,17.73
10780,"Alexandria, LA",22,Louisiana,00700,Kisatchie Delta Regional Planning & Development District 2--Rapides & Vernon Parishes PUMA,"153,922","183,947","131,613",85.51,71.55
10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,01700,Warren County PUMA,"821,173","108,692","108,692",13.24,100.00
10900,"Allentown-Bethlehem-Easton, PA-NJ",42,Pennsylvania,02801,Carbon & Lehigh (North) Counties PUMA,"821,173","126,612","126,612",15.42,100.00
10900,"Allentown-Bethlehem-Easton, PA-NJ",42,Pennsylvania,02802,Lehigh County (South--Outside Allentown & Bethlehem Cities)--Emmaus Borough PUMA,"821,173","150,759","150,759",18.36,100.00
10900,"Allentown-Bethlehem-Easton, PA-NJ",42,Pennsylvania,02803,Allentown City PUMA,"821,173","118,032","118,032",14.37,100.00
