Metropolitan Division Title,CSA Title,County/County Equivalent,State Name,Central/Outlying County,FIPS_combined,FIPS_population,mix_index,mix_index_population
,"Cleveland-Akron-Canton, OH",Portage County,Ohio,Central,39133,162644,"Cleveland-Akron-Canton, OH",3607736.0
,"Cleveland-Akron-Canton, OH",Summit County,Ohio,Central,39153,541810,"Cleveland-Akron-Canton, OH",3607736.0
,"Portland-Vancouver-Salem, OR-WA",Linn County,Oregon,Central,41043,122870,"Portland-Vancouver-Salem, OR-WA",3152673.0
,"Charlotte-Concord, NC-SC",Stanly County,North Carolina,Central,37167,61114,"Charlotte-Concord, NC-SC",2656704.0
,"San Juan-Bayamón, PR",Arecibo Municipio,Puerto Rico,Central,72013,87242,"San Juan-Bayamón, PR",2432066.0
,"San Juan-Bayamón, PR",Camuy Municipio,Puerto Rico,Central,72027,32222,"San Juan-Bayamón, PR",2432066.0
,"San Juan-Bayamón, PR",Hatillo Municipio,Puerto Rico,Central,72065,40390,"San Juan-Bayamón, PR",2432066.0
,"San Juan-Bayamón, PR",Quebradillas Municipio,Puerto Rico,Central,72115,24036,"San Juan-Bayamón, PR",2432066.0
,"Cleveland-Akron-Canton, OH",Ashtabula County,Ohio,Central,39007,98136,"Cleveland-Akron-Canton, OH",3607736.0
,"Kansas City-Overland Park-Kansas City, MO-KS",Atchison County,Kansas,Central,20005,16363,"Kansas City-Overland Park-Kansas City, MO-KS",2448345.0
,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Clarke County,Georgia,Central,13059,124602,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",6584708.0
,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Madison County,Georgia,Outlying,13195,28900,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",6584708.0
,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Oconee County,Georgia,Central,13219,37017,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",6584708.0
,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Oglethorpe County,Georgia,Outlying,13221,14784,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",6584708.0
,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Barrow County,Georgia,Outlying,13013,76887,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",6584708.0
,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Bartow County,Georgia,Outlying,13015,103620,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",6584708.0
