county_name,state,population
Abbeville County,SC,25417
Acadia Parish,LA,61773
Accomack County,VA,33164
Ada County,ID,392365
Adair County,IA,7682
Adair County,KY,18656
Adair County,MO,25607
Adair County,OK,22683
Adams County,CO,441603
Adams County,IA,4029
Adams County,ID,3976
Adams County,IL,67103
Adams County,IN,34387
Adams County,MS,32297
Adams County,ND,2343
Adams County,NE,31364
Adams County,OH,28550
Adams County,PA,101407
Adams County,WA,18728
Adams County,WI,20875
Addison County,VT,36821
Adjuntas Municipio,PR,19483
Aguada Municipio,PR,41959
Aguadilla Municipio,PR,60949
Aguas Buenas Municipio,PR,28659
Aibonito Municipio,PR,25900
Aiken County,SC,160099
Aitkin County,MN,16202
Alachua County,FL,247336
Alamance County,NC,151131
Alameda County,CA,1510271
Alamosa County,CO,15445
Albany County,NY,304204
Albany County,WY,36299
Albemarle County,VA,98970
Alcona County,MI,10942
Alcorn County,MS,37057
Aleutians East Borough,AK,3141
Aleutians West Census Area,AK,5561
Alexander County,IL,8238
Alexander County,NC,37198
Alexandria city,VA,139966
Alfalfa County,OK,5642
Alger County,MI,9601
Allamakee County,IA,14330
Allegan County,MI,111408
Allegany County,MD,75087
Allegany County,NY,48946
Alleghany County,NC,11155
Alleghany County,VA,16250
Allegheny County,PA,1223348
Allen County,IN,355329
Allen County,KS,13371
Allen County,KY,19956
Allen County,OH,106331
Allen Parish,LA,25764
Allendale County,SC,10419
Alpena County,MI,29598
Alpine County,CA,1175
Amador County,CA,38091
Amelia County,VA,12690
Amherst County,VA,32353
Amite County,MS,13131
Anchorage Municipality,AK,291826
Anderson County,KS,8102
Anderson County,KY,21421
Anderson County,SC,187126
Anderson County,TN,75129
Anderson County,TX,58458
Andrew County,MO,17291
Andrews County,TX,14786
Androscoggin County,ME,107702
Angelina County,TX,86771
Anne Arundel County,MD,537656
Anoka County,MN,330844
Anson County,NC,26948
Antelope County,NE,6685
Antrim County,MI,23580
Apache County,AZ,71518
Appanoose County,IA,12887
Appling County,GA,18236
Appomattox County,VA,14973
Aransas County,TX,23158
