county_name,state,standardized_date,# Infected,# Deaths,total_number_of_days,population,# Susceptible
Albany County,NY,2020-03-13,2.0,0.0,31,304204,304202.0
Albany County,NY,2020-03-14,5.0,0.0,31,304204,304199.0
Albany County,NY,2020-03-15,8.0,0.0,31,304204,304196.0
Albany County,NY,2020-03-16,12.0,0.0,31,304204,304192.0
Albany County,NY,2020-03-17,23.0,0.0,31,304204,304181.0
Albany County,NY,2020-03-18,36.0,0.0,31,304204,304168.0
Albany County,NY,2020-03-19,43.0,0.0,31,304204,304161.0
Albany County,NY,2020-03-20,61.0,0.0,31,304204,304143.0
Albany County,NY,2020-03-21,123.0,0.0,31,304204,304081.0
Albany County,NY,2020-03-22,123.0,0.0,31,304204,304081.0
Albany County,NY,2020-03-23,127.0,0.0,31,304204,304077.0
Albany County,NY,2020-03-24,146.0,0.0,31,304204,304058.0
Albany County,NY,2020-03-25,152.0,0.0,31,304204,304052.0
Albany County,NY,2020-03-26,171.0,0.0,31,304204,304033.0
Albany County,NY,2020-03-27,187.0,0.0,31,304204,304017.0
Albany County,NY,2020-03-28,195.0,0.0,31,304204,304009.0
Albany County,NY,2020-03-29,205.0,1.0,31,304204,303999.0
Albany County,NY,2020-03-30,217.0,1.0,31,304204,303987.0
Albany County,NY,2020-03-31,226.0,1.0,31,304204,303978.0
Albany County,NY,2020-04-01,240.0,2.0,31,304204,303964.0
Albany County,NY,2020-04-02,253.0,2.0,31,304204,303951.0
Albany County,NY,2020-04-03,267.0,4.0,31,304204,303937.0
Albany County,NY,2020-04-04,293.0,6.0,31,304204,303911.0
Albany County,NY,2020-04-05,305.0,8.0,31,304204,303899.0
Albany County,NY,2020-04-06,319.0,9.0,31,304204,303885.0
Albany County,NY,2020-04-07,333.0,9.0,31,304204,303871.0
Albany County,NY,2020-04-08,342.0,9.0,31,304204,303862.0
Albany County,NY,2020-04-09,379.0,12.0,31,304204,303825.0
Albany County,NY,2020-04-10,426.0,14.0,31,304204,303778.0
Albany County,NY,2020-04-11,446.0,16.0,31,304204,303758.0
