GEOID,NAME,estimate
01001,"Autauga County, Alabama",55200
01003,"Baldwin County, Alabama",208107
01005,"Barbour County, Alabama",25782
01007,"Bibb County, Alabama",22527
01009,"Blount County, Alabama",57645
01011,"Bullock County, Alabama",10352
01013,"Butler County, Alabama",20025
01015,"Calhoun County, Alabama",115098
01017,"Chambers County, Alabama",33826
01019,"Cherokee County, Alabama",25853
01021,"Chilton County, Alabama",43930
01023,"Choctaw County, Alabama",13075
01025,"Clarke County, Alabama",24387
01027,"Clay County, Alabama",13378
01029,"Cleburne County, Alabama",14938
01031,"Coffee County, Alabama",51288
01033,"Colbert County, Alabama",54495
01035,"Conecuh County, Alabama",12514
01037,"Coosa County, Alabama",10855
01039,"Covington County, Alabama",37351
01041,"Crenshaw County, Alabama",13865
01043,"Cullman County, Alabama",82313
01045,"Dale County, Alabama",49255
01047,"Dallas County, Alabama",40029
01049,"DeKalb County, Alabama",71200
01051,"Elmore County, Alabama",81212
01053,"Escambia County, Alabama",37328
01055,"Etowah County, Alabama",102939
01057,"Fayette County, Alabama",16585
01059,"Franklin County, Alabama",31542
01061,"Geneva County, Alabama",26491
01063,"Greene County, Alabama",8426
01065,"Hale County, Alabama",14887
01067,"Henry County, Alabama",17124
01069,"Houston County, Alabama",104352
01071,"Jackson County, Alabama",52094
01073,"Jefferson County, Alabama",659892
01075,"Lamar County, Alabama",13933
01077,"Lauderdale County, Alabama",92585
01079,"Lawrence County, Alabama",33171
01081,"Lee County, Alabama",159287
01083,"Limestone County, Alabama",93052
01085,"Lowndes County, Alabama",10236
01087,"Macon County, Alabama",19054
01089,"Madison County, Alabama",357560
01091,"Marengo County, Alabama",19538
01093,"Marion County, Alabama",29965
01095,"Marshall County, Alabama",95145
01097,"Mobile County, Alabama",414659
01099,"Monroe County, Alabama",21512
01101,"Montgomery County, Alabama",226941
01103,"Morgan County, Alabama",119122
01105,"Perry County, Alabama",9486
01107,"Pickens County, Alabama",20298
01109,"Pike County, Alabama",33403
01111,"Randolph County, Alabama",22574
01113,"Russell County, Alabama",58213
01115,"St. Clair County, Alabama",87306
01117,"Shelby County, Alabama",211261
01119,"Sumter County, Alabama",12985
01121,"Talladega County, Alabama",80565
01123,"Tallapoosa County, Alabama",40636
01125,"Tuscaloosa County, Alabama",206213
01127,"Walker County, Alabama",64493
01129,"Washington County, Alabama",16643
01131,"Wilcox County, Alabama",10809
01133,"Winston County, Alabama",23875
02013,"Aleutians East Borough, Alaska",3425
02016,"Aleutians West Census Area, Alaska",5750
02020,"Anchorage Municipality, Alaska",296112
02050,"Bethel Census Area, Alaska",18040
02060,"Bristol Bay Borough, Alaska",890
02068,"Denali Borough, Alaska",2232
02070,"Dillingham Census Area, Alaska",4975
02090,"Fairbanks North Star Borough, Alaska",99653
02100,"Haines Borough, Alaska",2518
02105,"Hoonah-Angoon Census Area, Alaska",2132
02110,"Juneau City and Borough, Alaska",32330
02122,"Kenai Peninsula Borough, Alaska",58220
02130,"Ketchikan Gateway Borough, Alaska",13804
02150,"Kodiak Island Borough, Alaska",13649
02158,"Kusilvak Census Area, Alaska",8198
02164,"Lake and Peninsula Borough, Alaska",1375
02170,"Matanuska-Susitna Borough, Alaska",103464
02180,"Nome Census Area, Alaska",9925
02185,"North Slope Borough, Alaska",9797
02188,"Northwest Arctic Borough, Alaska",7734
02195,"Petersburg Borough, Alaska",3255
02198,"Prince of Wales-Hyder Census Area, Alaska",6474
02220,"Sitka City and Borough, Alaska",8738
02230,"Skagway Municipality, Alaska",1061
02240,"Southeast Fairbanks Census Area, Alaska",6876
02261,"Valdez-Cordova Census Area, Alaska",9301
02275,"Wrangell City and Borough, Alaska",2484
02282,"Yakutat City and Borough, Alaska",689
02290,"Yukon-Koyukuk Census Area, Alaska",5415
04001,"Apache County, Arizona",71522
04003,"Cochise County, Arizona",126279
04005,"Coconino County, Arizona",140217
04007,"Gila County, Arizona",53400
04009,"Graham County, Arizona",37879
04011,"Greenlee County, Arizona",9504
04012,"La Paz County, Arizona",20701
04013,"Maricopa County, Arizona",4253913
04015,"Mohave County, Arizona",206064
04017,"Navajo County, Arizona",108705
04019,"Pima County, Arizona",1019722
04021,"Pinal County, Arizona",419721
04023,"Santa Cruz County, Arizona",46584
04025,"Yavapai County, Arizona",224645
04027,"Yuma County, Arizona",207829
05001,"Arkansas County, Arkansas",18124
05003,"Ashley County, Arkansas",20537
05005,"Baxter County, Arkansas",41219
05007,"Benton County, Arkansas",258980
05009,"Boone County, Arkansas",37288
05011,"Bradley County, Arkansas",10948
05013,"Calhoun County, Arkansas",5202
