,Date,Province/State,Confirmed,Deaths,new_confirmed,new_deaths,new_confirmed_avg,new_deaths_avg
0,2020-01-22,Alabama,0,0,0,0,,
1,2020-01-23,Alabama,0,0,0,0,,
2,2020-01-24,Alabama,0,0,0,0,,
3,2020-01-25,Alabama,0,0,0,0,,
4,2020-01-26,Alabama,0,0,0,0,,
5,2020-01-27,Alabama,0,0,0,0,,
6,2020-01-28,Alabama,0,0,0,0,0.0,0.0
7,2020-01-29,Alabama,0,0,0,0,0.0,0.0
8,2020-01-30,Alabama,0,0,0,0,0.0,0.0
9,2020-01-31,Alabama,0,0,0,0,0.0,0.0
10,2020-02-01,Alabama,0,0,0,0,0.0,0.0
11,2020-02-02,Alabama,0,0,0,0,0.0,0.0
12,2020-02-03,Alabama,0,0,0,0,0.0,0.0
13,2020-02-04,Alabama,0,0,0,0,0.0,0.0
14,2020-02-05,Alabama,0,0,0,0,0.0,0.0
15,2020-02-06,Alabama,0,0,0,0,0.0,0.0
16,2020-02-07,Alabama,0,0,0,0,0.0,0.0
17,2020-02-08,Alabama,0,0,0,0,0.0,0.0
18,2020-02-09,Alabama,0,0,0,0,0.0,0.0
19,2020-02-10,Alabama,0,0,0,0,0.0,0.0
20,2020-02-11,Alabama,0,0,0,0,0.0,0.0
21,2020-02-12,Alabama,0,0,0,0,0.0,0.0
22,2020-02-13,Alabama,0,0,0,0,0.0,0.0
23,2020-02-14,Alabama,0,0,0,0,0.0,0.0
24,2020-02-15,Alabama,0,0,0,0,0.0,0.0
25,2020-02-16,Alabama,0,0,0,0,0.0,0.0
26,2020-02-17,Alabama,0,0,0,0,0.0,0.0
27,2020-02-18,Alabama,0,0,0,0,0.0,0.0
28,2020-02-19,Alabama,0,0,0,0,0.0,0.0
29,2020-02-20,Alabama,0,0,0,0,0.0,0.0
30,2020-02-21,Alabama,0,0,0,0,0.0,0.0
31,2020-02-22,Alabama,0,0,0,0,0.0,0.0
32,2020-02-23,Alabama,0,0,0,0,0.0,0.0
33,2020-02-24,Alabama,0,0,0,0,0.0,0.0
34,2020-02-25,Alabama,0,0,0,0,0.0,0.0
35,2020-02-26,Alabama,0,0,0,0,0.0,0.0
36,2020-02-27,Alabama,0,0,0,0,0.0,0.0
37,2020-02-28,Alabama,0,0,0,0,0.0,0.0
38,2020-02-29,Alabama,0,0,0,0,0.0,0.0
39,2020-03-01,Alabama,0,0,0,0,0.0,0.0
40,2020-03-02,Alabama,0,0,0,0,0.0,0.0
41,2020-03-03,Alabama,0,0,0,0,0.0,0.0
42,2020-03-04,Alabama,0,0,0,0,0.0,0.0
43,2020-03-05,Alabama,0,0,0,0,0.0,0.0
44,2020-03-06,Alabama,0,0,0,0,0.0,0.0
45,2020-03-07,Alabama,0,0,0,0,0.0,0.0
46,2020-03-08,Alabama,0,0,0,0,0.0,0.0
47,2020-03-09,Alabama,0,0,0,0,0.0,0.0
48,2020-03-10,Alabama,0,0,0,0,0.0,0.0
49,2020-03-11,Alabama,0,0,0,0,0.0,0.0
50,2020-03-12,Alabama,0,0,0,0,0.0,0.0
51,2020-03-13,Alabama,5,0,5,0,0.7142857142857143,0.0
52,2020-03-14,Alabama,7,0,2,0,1.0,0.0
53,2020-03-15,Alabama,11,0,4,0,1.5714285714285714,0.0
54,2020-03-16,Alabama,29,0,18,0,4.142857142857143,0.0
55,2020-03-17,Alabama,39,0,10,0,5.571428571428571,0.0
56,2020-03-18,Alabama,51,0,12,0,7.285714285714286,0.0
57,2020-03-19,Alabama,78,0,27,0,11.142857142857142,0.0
